Date,Open,High,Low,Close,Adj Close,Volume, Change
2019-04-05,119.389999,120.230003,119.370003,119.889999,117.995872,15826200,0.41879554752320586
2019-04-08,119.809998,120.019997,118.639999,119.930000,118.035233,15116200,0.10016025540707689
2019-04-09,118.629997,119.540001,118.580002,119.279999,117.395500,17612000,0.5479238105350375
2019-04-10,119.760002,120.349998,119.540001,120.190002,118.291138,16477200,0.35905143020956765
2019-04-11,120.540001,120.849998,119.919998,120.330002,118.428917,14209100,-0.17421519682915093
2019-04-12,120.639999,120.980003,120.370003,120.949997,119.039124,19745100,0.2569612090265295
2019-04-15,120.940002,121.580002,120.570000,121.050003,119.137543,15792600,0.0909550175135576
2019-04-16,121.639999,121.650002,120.099998,120.769997,118.861961,14071800,-0.7152269049262319
2019-04-17,121.239998,121.849998,120.540001,121.769997,119.846169,19300900,0.4371486380262095
2019-04-18,122.190002,123.519997,121.300003,123.370003,121.420891,27991000,0.9657099440918169
2019-04-22,122.620003,124.000000,122.570000,123.760002,121.804726,15648700,0.9297006786078803
2019-04-23,124.099998,125.580002,123.830002,125.440002,123.458191,24025500,1.0797776161124575
2019-04-24,125.790001,125.849998,124.519997,125.010002,123.034981,31257000,-0.6200802876215921
2019-04-25,130.059998,131.369995,128.830002,129.149994,127.109573,38033900,-0.6996801583835291
2019-04-26,129.699997,130.520004,129.020004,129.889999,127.837875,23654900,0.1464934498032353
2019-04-29,129.899994,130.179993,129.350006,129.770004,127.719780,16324200,-0.10006928868679724
2019-04-30,129.809998,130.699997,129.389999,130.600006,128.536667,24166500,0.6085879455910632
2019-05-01,130.529999,130.649994,127.699997,127.879997,125.859627,26821700,-2.030186179653614
2019-05-02,127.980003,128.000000,125.519997,126.209999,124.216019,27350200,-1.3830316912869585
2019-05-03,127.360001,129.429993,127.250000,128.899994,126.863518,24911100,1.2091653485461227
2019-05-06,126.389999,128.559998,126.110001,128.149994,126.125359,24239800,1.3925112856437236
2019-05-07,126.459999,127.180000,124.220001,125.519997,123.536911,36017700,-0.743319632637347
2019-05-08,125.440002,126.370003,124.750000,125.510002,123.527084,28419000,0.05580357053884069
2019-05-09,124.290001,125.790001,123.570000,125.500000,123.517242,27235800,0.9735288360002478
2019-05-10,124.910004,127.930000,123.820000,127.129997,125.121490,30915100,1.7772739803931175
2019-05-13,124.110001,125.550003,123.040001,123.349998,121.401199,33944900,-0.6123624154994549
2019-05-14,123.870003,125.879997,123.699997,124.730003,122.759407,25266300,0.6942762405519596
2019-05-15,124.260002,126.709999,123.699997,126.019997,124.488129,24722700,1.4163809525771645
2019-05-16,126.750000,129.380005,126.459999,128.929993,127.362755,30112200,1.7199155818540404
2019-05-17,128.309998,130.460007,127.919998,128.070007,126.513222,25770500,-0.187039984210742
2019-05-20,126.519997,127.589996,125.760002,126.220001,124.685707,23706900,-0.23711350546428422
2019-05-21,127.430000,127.529999,126.580002,126.900002,125.357445,15293300,-0.4159130503021315
2019-05-22,126.620003,128.240005,126.519997,127.669998,126.118073,15396500,0.8292489141703857
2019-05-23,126.199997,126.290001,124.739998,126.180000,124.646194,23603800,-0.01584548373641355
2019-05-24,126.910004,127.419998,125.970001,126.239998,124.705452,14123400,-0.5279378921144788
2019-05-28,126.980003,128.000000,126.050003,126.160004,124.626442,23128400,-0.6457701847746812
2019-05-29,125.379997,125.389999,124.040001,124.940002,123.421265,22763100,-0.35092918370383763
2019-05-30,125.260002,125.760002,124.779999,125.730003,124.201653,16829600,0.37522033569821944
2019-05-31,124.230003,124.620003,123.320000,123.680000,122.176575,26646800,-0.4427296037334794
