Date,Open,High,Low,Close,Adj Close,Volume, Change
2019-04-05,1214.989990,1216.219971,1205.030029,1207.150024,1207.150024,907200,-0.6452700075331488
2019-04-08,1207.890015,1208.689941,1199.859985,1203.839966,1203.839966,860200,-0.33529948502802587
2019-04-09,1196.000000,1202.290039,1193.079956,1197.250000,1197.250000,876400,0.10451505016722408
2019-04-10,1200.680054,1203.785034,1196.435059,1202.160034,1202.160034,724600,0.12326181275932721
2019-04-11,1203.959961,1207.959961,1200.130005,1204.619995,1204.619995,710200,0.05482192276990481
2019-04-12,1210.000000,1218.349976,1208.109985,1217.869995,1217.869995,933400,0.6504128099173568
2019-04-15,1218.000000,1224.199951,1209.109985,1221.099976,1221.099976,1187400,0.2545136288998333
2019-04-16,1225.000000,1230.819946,1220.119995,1227.130005,1227.130005,856300,0.17387795918367208
2019-04-17,1233.000000,1240.560059,1227.819946,1236.339966,1236.339966,1221900,0.27088126520681294
2019-04-18,1239.180054,1242.000000,1234.609985,1236.369995,1236.369995,1331800,-0.22676761064134351
2019-04-22,1235.989990,1249.089966,1228.310059,1248.839966,1248.839966,807300,1.03965049102056
2019-04-23,1250.689941,1269.000000,1246.380005,1264.550049,1264.550049,1319900,1.1081969675807806
2019-04-24,1264.119995,1268.010010,1255.000000,1256.000000,1256.000000,1018800,-0.6423436882667153
2019-04-25,1264.770020,1267.407959,1252.030029,1263.449951,1263.449951,1107300,-0.10437225575602085
2019-04-26,1269.000000,1273.069946,1260.319946,1272.180054,1272.180054,1241400,0.2505952718676066
2019-04-29,1274.000000,1289.270020,1266.295044,1287.579956,1287.579956,2499400,1.065930612244901
2019-04-30,1185.000000,1192.810059,1175.000000,1188.479980,1188.479980,6207000,0.2936691983122421
2019-05-01,1188.050049,1188.050049,1167.180054,1168.079956,1168.079956,2639200,-1.6809134444133091
2019-05-02,1167.760010,1174.189941,1155.001953,1162.609985,1162.609985,1944800,-0.4410174141859777
2019-05-03,1173.650024,1186.800049,1169.000000,1185.400024,1185.400024,1980700,1.0011502372703909
2019-05-06,1166.260010,1190.849976,1166.260010,1189.390015,1189.390015,1563900,1.9832631490125416
2019-05-07,1180.469971,1190.439941,1161.040039,1174.099976,1174.099976,1551400,-0.5396151665428529
2019-05-08,1172.010010,1180.423950,1165.739990,1166.270020,1166.270020,1309300,-0.4897560559231089
2019-05-09,1159.030029,1169.660034,1150.849976,1162.380005,1162.380005,1185700,0.2890327184094011
2019-05-10,1163.589966,1172.599976,1142.500000,1164.270020,1164.270020,1314500,0.05844447097955874
2019-05-13,1141.959961,1147.939941,1122.109985,1132.030029,1132.030029,1860600,-0.8695516777404779
2019-05-14,1137.209961,1140.420044,1119.550049,1120.439941,1120.439941,1836600,-1.47466348124961
2019-05-15,1117.869995,1171.329956,1116.666016,1164.209961,1164.209961,2289300,4.145380608413236
2019-05-16,1164.510010,1188.160034,1162.839966,1178.979980,1178.979980,1531400,1.2425801303331092
2019-05-17,1168.469971,1180.150024,1160.010010,1162.300049,1162.300049,1208600,-0.5280342801381279
2019-05-20,1144.500000,1146.796997,1131.442993,1138.849976,1138.849976,1353300,-0.49366745303626297
2019-05-21,1148.489990,1152.708008,1137.939941,1149.630005,1149.630005,1159800,0.09926207541434023
2019-05-22,1146.750000,1158.520020,1145.890015,1151.420044,1151.420044,914500,0.4072416830172193
2019-05-23,1140.500000,1145.973022,1129.223999,1140.770020,1140.770020,1198900,0.023675580885570476
2019-05-24,1147.359985,1149.765015,1131.660034,1133.469971,1133.469971,1112000,-1.2106064514704218
2019-05-28,1134.000000,1151.587036,1133.119995,1134.150024,1134.150024,1365000,0.013229629629632308
